order_id,order_date,region,category,product,quantity,sales,profit,customer_segment
ORD10001,2023-01-01,West,Electronics,Desk,9.0,30362.63,4594.24,Consumer
ORD10002,2023-01-02,North,Electronics,Keyboard,7.0,18403.33,11049.13,Corporate
ORD10003,2023-01-03,East,Electronics,Chair,8.0,4001.51,11113.49,Consumer
ORD10004,2023-01-04,North,Electronics,Laptop,6.0,32835.24,-3808.33,Corporate
ORD10005,2023-01-05,North,Electronics,Printer,9.0,24523.91,5448.98,Home Office
ORD10006,2023-01-06,South,Electronics,Monitor,6.0,7016.57,-4280.0,Consumer
ORD10007,2023-01-07,East,Electronics,Keyboard,7.0,46806.62,6017.38,Consumer
ORD10008,2023-01-08,East,Electronics,Desk,7.0,47792.3,-2999.05,Home Office
ORD10009,2023-01-09,East,Furniture,Keyboard,9.0,42858.99,11088.85,Consumer
ORD10010,2023-01-10,North,Furniture,Keyboard,8.0,42224.64,9693.76,Consumer
ORD10011,2023-01-11,West,Electronics,Chair,1.0,5113.83,-4620.41,Consumer
ORD10012,2023-01-12,East,Electronics,Laptop,4.0,49672.32,8296.24,Consumer
ORD10013,2023-01-13,South,Electronics,Laptop,7.0,20138.96,5810.25,Consumer
ORD10014,2023-01-14,North,Electronics,Keyboard,8.0,8323.43,3421.28,Consumer
ORD10015,2023-01-15,South,Office Supplies,Monitor,7.0,40642.67,5244.79,Corporate
ORD10016,2023-01-16,West,Furniture,Laptop,3.0,11441.39,6530.25,Consumer
ORD10017,2023-01-17,South,Electronics,Keyboard,4.0,26403.53,10035.78,Consumer
ORD10018,2023-01-18,South,Office Supplies,Laptop,7.0,6575.2,8045.08,Home Office
ORD10019,2023-01-19,South,Office Supplies,Monitor,8.0,23837.36,4781.42,Consumer
ORD10020,2023-01-20,West,Office Supplies,Desk,7.0,27995.45,9018.47,Consumer
ORD10021,2023-01-21,North,Office Supplies,Keyboard,6.0,22407.01,11777.69,Corporate
